match_id,innings,batter,entry_seq,exit_seq,balls_faced,runs_scored,pp_balls,mid_balls,death_balls
1082591,1,BCJ Cutting,118,125,6,16,0,0,6
1082591,1,DA Warner,1,12,7,14,7,0,0
1082591,1,DJ Hooda,97,121,12,16,0,2,10
1082591,1,MC Henriques,13,95,37,52,13,24,0
1082591,1,S Dhawan,6,65,31,40,16,15,0
1082591,1,Yuvraj Singh,67,117,27,62,0,19,8
1082591,2,A Choudhary,122,123,2,6,0,0,2
1082591,2,CH Gayle,1,41,21,32,18,3,0
1082591,2,KM Jadhav,44,75,15,30,0,15,0
1082591,2,Mandeep Singh,2,36,16,24,16,0,0
1082591,2,S Aravind,107,111,2,0,0,0,2
1082591,2,SR Watson,76,110,17,22,0,11,6
1082591,2,STR Binny,89,106,10,11,0,8,2
1082591,2,Sachin Baby,84,87,3,1,0,3,0
1082591,2,TM Head,37,82,22,30,2,20,0
1082591,2,TS Mills,114,118,3,6,0,0,3
1082591,2,YS Chahal,112,121,7,3,0,0,7
1082592,1,AT Rayudu,43,69,12,10,0,12,0
1082592,1,HH Pandya,97,125,15,35,0,2,13
1082592,1,JC Buttler,4,42,19,38,18,1,0
1082592,1,KA Pollard,85,114,17,27,0,9,8
1082592,1,KH Pandya,70,83,5,3,0,5,0
1082592,1,N Rana,41,96,28,34,0,28,0
1082592,1,PA Patel,2,27,14,19,14,0,0
1082592,1,RG Sharma,28,40,7,3,4,3,0
1082592,1,TG Southee,115,118,3,7,0,0,3
1082592,2,AM Rahane,1,62,34,60,22,12,0
1082592,2,BA Stokes,65,95,14,21,0,14,0
1082592,2,MA Agarwal,2,20,5,6,5,0,0
1082592,2,MS Dhoni,97,120,12,12,0,1,11
1082592,2,SPD Smith,21,122,54,84,9,33,12
1082593,1,AJ Finch,51,63,8,15,0,8,0
1082593,1,BB McCullum,7,50,24,35,15,9,0
1082593,1,JJ Roy,1,20,12,14,12,0,0
1082593,1,KD Karthik,65,121,25,47,0,12,13
1082593,1,SK Raina,21,122,51,68,9,31,11
1082593,2,CA Lynn,2,96,41,93,13,28,0
1082593,2,G Gambhir,1,89,48,76,23,25,0
1082594,1,AM Rahane,1,38,15,19,14,1,0
1082594,1,BA Stokes,43,110,32,50,0,26,6
1082594,1,DT Christian,111,124,8,17,0,0,8
1082594,1,MA Agarwal,2,5,4,0,4,0,0
1082594,1,MK Tiwary,72,125,23,40,0,13,10
1082594,1,MS Dhoni,53,71,11,5,0,11,0
1082594,1,SPD Smith,6,50,27,26,18,9,0
1082594,2,AR Patel,35,72,22,24,3,19,0
1082594,2,DA Miller,74,120,27,30,0,13,14
1082594,2,GJ Maxwell,73,122,20,44,0,16,4
1082594,2,HM Amla,1,68,27,28,15,12,0
1082594,2,M Vohra,5,19,9,14,9,0,0
1082594,2,WP Saha,21,34,9,14,9,0,0
1082595,1,CH Gayle,1,21,8,6,8,0,0
1082595,1,Iqbal Abdulla,107,119,7,5,0,0,7
1082595,1,KM Jadhav,38,106,37,69,1,33,3
1082595,1,Mandeep Singh,22,37,10,12,10,0,0
1082595,1,P Negi,109,121,8,10,0,0,8
1082595,1,SR Watson,2,54,24,24,17,7,0
1082595,1,STR Binny,55,94,18,16,0,18,0
1082595,1,TS Mills,122,124,3,0,0,0,3
1082595,1,Vishnu Vinod,95,104,5,9,0,2,3
1082595,2,A Mishra,103,124,14,8,0,0,14
1082595,2,AP Tare,1,29,17,18,17,0,0
1082595,2,CH Morris,69,82,5,4,0,5,0
1082595,2,CR Brathwaite,85,93,5,1,0,5,0
1082595,2,KK Nair,30,34,3,4,3,0,0
1082595,2,PJ Cummins,94,102,6,6,0,4,2
1082595,2,RR Pant,48,119,36,57,0,31,5
1082595,2,S Nadeem,120,121,2,0,0,0,2
1082595,2,SV Samson,35,68,12,13,2,10,0
1082595,2,SW Billings,5,46,19,25,14,5,0
1082595,2,Z Khan,123,123,1,1,0,0,1
1082596,1,AJ Finch,33,38,5,3,3,2,0
1082596,1,BB McCullum,4,29,10,5,10,0,0
1082596,1,Basil Thampi,107,120,8,13,0,0,8
1082596,1,DR Smith,57,100,27,37,0,25,2
1082596,1,DS Kulkarni,103,106,2,1,0,0,2
1082596,1,JJ Roy,1,32,21,31,21,0,0
1082596,1,KD Karthik,39,104,32,30,0,27,5
1082596,1,P Kumar,105,119,7,7,0,0,7
1082596,1,SK Raina,30,54,8,5,2,6,0
1082596,2,DA Warner,1,96,45,76,17,28,0
1082596,2,MC Henriques,20,95,39,52,10,29,0
1082596,2,S Dhawan,3,19,9,9,9,0,0
1082597,1,CA Lynn,3,51,22,30,17,5,0
1082597,1,CR Woakes,105,115,8,9,0,0,8
1082597,1,G Gambhir,1,30,13,19,13,0,0
1082597,1,MK Pandey,35,127,46,77,3,30,13
1082597,1,RV Uthappa,31,33,3,4,3,0,0
1082597,1,SA Yadav,78,103,15,17,0,14,1
1082597,1,SP Narine,117,128,2,1,0,0,2
1082597,1,YK Pathan,52,76,11,6,0,11,0
1082597,2,HH Pandya,105,126,11,29,0,0,11
1082597,2,Harbhajan Singh,119,119,1,1,0,0,1
1082597,2,JC Buttler,6,57,22,28,12,10,0
1082597,2,KA Pollard,80,103,17,17,0,16,1
1082597,2,KH Pandya,66,79,6,11,0,6,0
1082597,2,N Rana,52,118,29,50,0,19,10
1082597,2,PA Patel,1,51,27,30,24,3,0
1082597,2,RG Sharma,58,65,6,2,0,6,0
1082598,1,AB de Villiers,11,123,46,89,11,19,16
1082598,1,KM Jadhav,23,30,4,1,4,0,0
1082598,1,Mandeep Singh,32,80,34,28,5,29,0
1082598,1,SR Watson,1,6,4,1,4,0,0
1082598,1,STR Binny,83,120,20,18,0,12,8
1082598,1,Vishnu Vinod,2,21,12,7,12,0,0
1082598,2,AR Patel,42,51,6,9,0,6,0
1082598,2,GJ Maxwell,52,89,22,43,0,22,0
1082598,2,HM Amla,3,87,38,58,15,23,0
1082598,2,M Vohra,1,37,21,34,21,0,0
1082599,1,AP Tare,1,8,5,0,5,0,0
1082599,1,CH Morris,116,125,9,38,0,0,9
1082599,1,CJ Anderson,99,120,4,2,0,2,2
1082599,1,RR Pant,54,96,22,31,0,22,0
1082599,1,SV Samson,9,115,63,102,19,31,13
1082599,1,SW Billings,6,53,17,24,12,5,0
1082599,2,A Zampa,83,97,7,5,0,7,0
1082599,2,AB Dinda,89,101,7,7,0,6,1
1082599,2,AM Rahane,1,20,9,10,9,0,0
1082599,2,BA Stokes,42,50,5,2,0,5,0
1082599,2,DL Chahar,77,88,6,14,0,6,0
1082599,2,F du Plessis,21,43,7,8,4,3,0
1082599,2,Imran Tahir,99,100,2,0,0,2,0
1082599,2,MA Agarwal,2,31,18,20,18,0,0
1082599,2,MS Dhoni,44,75,14,11,0,14,0
1082599,2,R Bhatia,51,82,17,16,0,17,0
1082599,2,RA Tripathi,33,38,5,10,5,0,0
1082600,1,B Kumar,123,126,3,4,0,0,3
1082600,1,BCJ Cutting,93,112,10,20,0,3,7
1082600,1,DA Warner,6,63,34,49,21,13,0
1082600,1,DJ Hooda,65,82,9,9,0,9,0
1082600,1,NV Ojha,99,121,9,9,0,1,8
1082600,1,Rashid Khan,116,124,4,2,0,0,4
1082600,1,S Dhawan,1,92,42,47,15,27,0
1082600,1,V Shankar,113,115,2,1,0,0,2
1082600,1,Yuvraj Singh,85,97,7,5,0,7,0
1082600,2,HH Pandya,106,110,3,2,0,0,3
1082600,2,Harbhajan Singh,111,113,3,3,0,0,3
1082600,2,JC Buttler,3,19,11,14,11,0,0
1082600,2,KA Pollard,61,83,11,11,0,11,0
1082600,2,KH Pandya,84,104,20,37,0,13,7
1082600,2,N Rana,30,109,36,45,4,29,3
1082600,2,PA Patel,1,58,24,39,17,7,0
1082600,2,RG Sharma,20,29,4,4,4,0,0
1082601,1,AR Patel,117,117,1,0,0,0,1
1082601,1,DA Miller,78,114,17,22,0,12,5
1082601,1,GJ Maxwell,53,79,14,25,0,14,0
1082601,1,HM Amla,1,76,27,25,12,15,0
1082601,1,M Vohra,7,36,19,28,19,0,0
1082601,1,MM Sharma,116,128,8,10,0,0,8
1082601,1,MP Stoinis,37,52,12,9,5,7,0
1082601,1,VR Aaron,122,130,5,4,0,0,5
1082601,1,WP Saha,80,115,17,25,0,12,5
1082601,2,G Gambhir,9,102,49,72,16,32,1
1082601,2,MK Pandey,66,104,16,25,0,14,2
1082601,2,RV Uthappa,38,63,16,26,2,14,0
1082601,2,SP Narine,2,37,18,37,18,0,0
1082602,1,AB de Villiers,59,101,21,19,0,20,1
1082602,1,CH Gayle,1,58,27,22,18,9,0
1082602,1,KM Jadhav,96,109,7,8,0,2,5
1082602,1,Mandeep Singh,113,113,1,0,0,0,1
1082602,1,P Negi,102,122,13,13,0,0,13
1082602,1,STR Binny,114,124,4,6,0,0,4
1082602,1,V Kohli,3,95,47,62,18,29,0
1082602,2,HH Pandya,112,119,4,9,0,0,4
1082602,2,JC Buttler,4,12,5,2,5,0,0
1082602,2,KA Pollard,18,110,47,70,12,30,5
1082602,2,KH Pandya,51,115,30,37,0,22,8
1082602,2,MJ McClenaghan,16,16,1,0,1,0,0
1082602,2,N Rana,19,49,16,11,8,8,0
1082602,2,PA Patel,1,15,8,3,8,0,0
1082602,2,RG Sharma,13,17,2,0,2,0,0
1082603,1,AM Rahane,1,3,3,0,3,0,0
1082603,1,Ankit Sharma,89,119,15,25,0,5,10
1082603,1,BA Stokes,38,75,18,25,1,17,0
1082603,1,LH Ferguson,123,123,1,1,0,0,1
1082603,1,MK Tiwary,60,120,27,31,0,17,10
1082603,1,MS Dhoni,76,88,8,5,0,8,0
1082603,1,RA Tripathi,9,37,17,33,17,0,0
1082603,1,RD Chahar,122,124,2,3,0,0,2
1082603,1,SN Thakur,121,121,1,0,0,0,1
1082603,1,SPD Smith,5,58,28,43,15,13,0
1082603,2,AJ Finch,80,112,19,33,0,12,7
1082603,2,BB McCullum,3,69,32,49,17,15,0
1082603,2,DR Smith,1,55,30,47,19,11,0
1082603,2,KD Karthik,70,79,5,3,0,5,0
1082603,2,SK Raina,56,109,22,35,0,17,5
1082604,1,C de Grandhomme,120,124,2,0,0,0,2
1082604,1,CR Woakes,125,125,1,1,0,0,1
1082604,1,G Gambhir,2,36,16,15,16,0,0
1082604,1,MK Pandey,37,110,35,46,2,27,6
1082604,1,RV Uthappa,15,89,39,68,9,30,0
1082604,1,SA Yadav,117,119,3,4,0,0,3
1082604,1,SP Narine,1,14,9,6,9,0,0
1082604,1,YK Pathan,92,126,15,21,0,3,12
1082604,2,BCJ Cutting,82,107,10,15,0,6,4
1082604,2,Bipul Sharma,108,123,14,21,0,0,14
1082604,2,DA Warner,1,60,30,26,15,15,0
1082604,2,DJ Hooda,66,81,7,13,0,7,0
1082604,2,MC Henriques,43,65,10,13,0,10,0
1082604,2,NV Ojha,93,124,11,11,0,5,6
1082604,2,S Dhawan,5,41,22,23,21,1,0
1082604,2,Yuvraj Singh,61,92,16,26,0,16,0
1082605,1,CH Morris,97,114,8,16,0,2,6
1082605,1,CJ Anderson,83,127,21,39,0,9,12
1082605,1,KK Nair,44,46,3,0,0,3,0
1082605,1,PJ Cummins,115,125,6,12,0,0,6
1082605,1,RR Pant,78,95,9,15,0,9,0
1082605,1,SS Iyer,48,75,16,21,0,16,0
1082605,1,SV Samson,1,42,18,19,15,3,0
1082605,1,SW Billings,7,81,39,55,21,18,0
1082605,2,AR Patel,66,121,29,44,0,17,12
1082605,2,DA Miller,29,83,28,24,3,25,0
1082605,2,EJG Morgan,21,61,20,22,10,10,0
1082605,2,GJ Maxwell,63,64,2,0,0,2,0
1082605,2,HM Amla,3,28,12,19,12,0,0
1082605,2,KC Cariappa,115,116,2,1,0,0,2
1082605,2,M Vohra,1,10,6,3,6,0,0
1082605,2,MM Sharma,84,114,14,13,0,6,8
1082605,2,Sandeep Sharma,117,119,2,2,0,0,2
1082605,2,WP Saha,11,20,5,7,5,0,0
1082606,1,BB McCullum,5,84,44,64,22,22,0
1082606,1,DR Smith,2,3,2,0,2,0,0
1082606,1,Ishan Kishan,71,111,14,11,0,10,4
1082606,1,JJ Roy,113,125,7,14,0,0,7
1082606,1,KD Karthik,86,126,25,44,0,12,13
1082606,1,SK Raina,4,69,28,24,12,16,0
1082606,2,HH Pandya,117,121,3,6,0,0,3
1082606,2,JC Buttler,13,73,24,26,11,13,0
1082606,2,KA Pollard,74,116,23,39,0,15,8
1082606,2,N Rana,3,62,36,53,23,13,0
1082606,2,PA Patel,1,2,2,0,2,0,0
1082606,2,RG Sharma,63,125,29,40,0,19,10
1082607,1,AM Rahane,1,48,25,30,18,7,0
1082607,1,BA Stokes,104,108,3,2,0,0,3
1082607,1,DT Christian,103,106,3,1,0,0,3
1082607,1,JD Unadkat,110,123,5,2,0,0,5
1082607,1,MK Tiwary,113,126,11,27,0,0,11
1082607,1,MS Dhoni,53,101,25,28,0,25,0
1082607,1,RA Tripathi,5,52,23,31,18,5,0
1082607,1,SN Thakur,109,109,1,0,0,0,1
1082607,1,SPD Smith,49,102,24,27,0,23,1
