match_id,innings,bowler,balls,runs_conceded,wickets,dot_balls,pp_balls,mid_balls,death_balls,overs,economy
1082591,1,A Choudhary,24,55,1,5,7,13,8,4.0,13.75
1082591,1,S Aravind,18,36,0,2,6,12,0,3.0,12.0
1082591,1,SR Watson,18,41,0,3,6,6,6,3.0,13.666666666666666
1082591,1,STR Binny,6,10,1,1,0,6,0,1.0,10.0
1082591,1,TM Head,6,11,0,0,0,6,0,1.0,11.0
1082591,1,TS Mills,24,32,1,10,13,0,12,4.0,8.0
1082591,1,YS Chahal,24,22,1,5,6,18,0,4.0,5.5
1082591,2,A Nehra,24,42,2,8,12,7,6,4.0,10.5
1082591,2,B Kumar,24,28,2,11,13,0,12,4.0,7.0
1082591,2,BCJ Cutting,22,35,0,10,7,13,4,3.6666666666666665,9.545454545454545
1082591,2,Bipul Sharma,6,4,1,2,0,6,0,1.0,4.0
1082591,2,DJ Hooda,6,7,1,4,0,6,0,1.0,7.0
1082591,2,MC Henriques,12,20,0,1,0,13,0,2.0,10.0
1082591,2,Rashid Khan,24,36,2,8,6,18,0,4.0,9.0
1082592,1,A Zampa,18,27,1,4,0,19,0,3.0,9.0
1082592,1,AB Dinda,24,58,0,8,13,0,14,4.0,14.5
1082592,1,BA Stokes,24,36,1,10,6,13,6,4.0,9.0
1082592,1,DL Chahar,12,21,0,6,12,0,0,2.0,10.5
1082592,1,Imran Tahir,24,28,3,8,6,12,6,4.0,7.0
1082592,1,R Bhatia,18,14,2,5,0,18,0,3.0,4.666666666666667
1082592,2,HH Pandya,24,37,1,4,6,18,0,4.0,9.25
1082592,2,JJ Bumrah,24,29,0,6,6,6,12,4.0,7.25
1082592,2,KA Pollard,11,30,0,0,0,7,5,1.8333333333333333,16.363636363636363
1082592,2,KH Pandya,12,21,0,2,0,12,0,2.0,10.5
1082592,2,MJ McClenaghan,24,36,1,9,12,6,6,4.0,9.0
1082592,2,TG Southee,24,34,1,8,13,13,0,4.0,8.5
1082593,1,CR Woakes,18,36,0,4,6,6,6,3.0,12.0
1082593,1,Kuldeep Yadav,24,25,2,8,0,24,0,4.0,6.25
1082593,1,PP Chawla,24,33,1,7,13,6,6,4.0,8.25
1082593,1,SP Narine,24,33,0,7,12,12,0,4.0,8.25
1082593,1,TA Boult,24,41,1,8,6,6,13,4.0,10.25
1082593,1,YK Pathan,6,15,0,1,0,6,0,1.0,15.0
1082593,2,DR Smith,6,23,0,1,0,6,0,1.0,23.0
1082593,2,DS Kulkarni,17,42,0,3,12,7,0,2.8333333333333335,14.823529411764705
1082593,2,MS Gony,12,32,0,4,8,7,0,2.0,16.0
1082593,2,P Kumar,12,13,0,2,6,6,0,2.0,6.5
1082593,2,S Kaushik,24,44,0,9,12,12,0,4.0,11.0
1082593,2,SB Jakati,18,30,0,2,0,20,0,3.0,10.0
1082594,1,AR Patel,24,28,1,6,6,12,8,4.0,7.0
1082594,1,MM Sharma,24,34,0,6,12,0,12,4.0,8.5
1082594,1,MP Stoinis,18,28,1,5,0,21,0,3.0,9.333333333333334
1082594,1,Sandeep Sharma,24,33,2,8,18,0,6,4.0,8.25
1082594,1,Swapnil Singh,12,14,1,3,0,12,0,2.0,7.0
1082594,1,T Natarajan,18,26,1,4,0,18,0,3.0,8.666666666666666
1082594,2,AB Dinda,18,26,1,7,12,0,6,3.0,8.666666666666666
1082594,2,BA Stokes,24,32,0,10,6,12,7,4.0,8.0
1082594,2,DT Christian,12,24,0,4,14,0,0,2.0,12.0
1082594,2,Imran Tahir,24,29,2,8,6,18,0,4.0,7.25
1082594,2,R Bhatia,12,20,0,3,0,13,0,2.0,10.0
1082594,2,RD Chahar,24,33,1,8,0,22,6,4.0,8.25
