match_id,innings,bowler,runs_conceded,balls,wickets,dot_balls,wides,noballs,bowling_team,overs,economy
1082591,1,YS Chahal,22,24,1,5,0,0,Royal Challengers Bengaluru,4.0,5.5
1082591,1,TS Mills,31,24,1,10,2,0,Royal Challengers Bengaluru,4.0,7.75
1082591,1,STR Binny,10,6,1,1,0,0,Royal Challengers Bengaluru,1.0,10.0
1082591,1,A Choudhary,55,24,1,5,3,1,Royal Challengers Bengaluru,4.0,13.75
1082591,1,TM Head,11,6,0,0,0,0,Royal Challengers Bengaluru,1.0,11.0
1082591,1,S Aravind,36,18,0,2,0,0,Royal Challengers Bengaluru,3.0,12.0
1082591,1,SR Watson,41,18,0,3,0,0,Royal Challengers Bengaluru,3.0,13.666666666666666
1082591,2,B Kumar,27,24,2,11,1,0,Sunrisers Hyderabad,4.0,6.75
1082591,2,Rashid Khan,36,24,2,8,0,0,Sunrisers Hyderabad,4.0,9.0
1082591,2,A Nehra,42,24,2,8,1,0,Sunrisers Hyderabad,4.0,10.5
1082591,2,Bipul Sharma,4,6,1,2,0,0,Sunrisers Hyderabad,1.0,4.0
1082591,2,DJ Hooda,7,6,1,4,0,0,Sunrisers Hyderabad,1.0,7.0
1082591,2,BCJ Cutting,35,22,0,10,2,0,Sunrisers Hyderabad,3.6666666666666665,9.545454545454545
1082591,2,MC Henriques,20,12,0,1,0,1,Sunrisers Hyderabad,2.0,10.0
1082592,1,Imran Tahir,28,24,3,8,0,0,Rising Pune Supergiants,4.0,7.0
1082592,1,R Bhatia,14,18,2,5,0,0,Rising Pune Supergiants,3.0,4.666666666666667
1082592,1,A Zampa,26,18,1,4,1,0,Rising Pune Supergiants,3.0,8.666666666666666
1082592,1,BA Stokes,36,24,1,10,2,0,Rising Pune Supergiants,4.0,9.0
1082592,1,DL Chahar,21,12,0,6,0,0,Rising Pune Supergiants,2.0,10.5
1082592,1,AB Dinda,57,24,0,8,3,0,Rising Pune Supergiants,4.0,14.25
1082592,2,TG Southee,34,24,1,8,2,0,Mumbai Indians,4.0,8.5
1082592,2,HH Pandya,36,24,1,4,0,0,Mumbai Indians,4.0,9.0
1082592,2,MJ McClenaghan,36,24,1,9,0,0,Mumbai Indians,4.0,9.0
1082592,2,JJ Bumrah,29,24,0,6,0,0,Mumbai Indians,4.0,7.25
1082592,2,KH Pandya,21,12,0,2,0,0,Mumbai Indians,2.0,10.5
1082592,2,KA Pollard,30,11,0,0,1,0,Mumbai Indians,1.8333333333333333,16.363636363636363
