player,player_name,impact_metric_last10,matches_available,last_match_id,team
SSB Magala,SSB Magala,77.81,2,1359491,Chennai Super Kings
V Suryavanshi,V Suryavanshi,77.12,7,1473500,Rajasthan Royals
Urvil Patel,Urvil Patel,76.83,3,1473504,Chennai Super Kings
JP Inglis,JP Inglis,74.43,11,1485779,Punjab Kings
SA Yadav,SA Yadav,74.42,152,1473510,Kolkata Knight Riders
YBK Jaiswal,YBK Jaiswal,73.81,66,1473500,Rajasthan Royals
BKG Mendis,BKG Mendis,73.64,1,1473509,Gujarat Titans
RR Rossouw,RR Rossouw,73.45,22,1426307,Royal Challengers Bangalore
H Klaasen,H Klaasen,70.73,45,1473505,Sunrisers Hyderabad
A Mhatre,A Mhatre,70.61,7,1473504,Chennai Super Kings
Abhishek Sharma,Abhishek Sharma,70.35,77,1473505,Sunrisers Hyderabad
Shubman Gill,Shubman Gill,68.47,114,1473509,Gujarat Titans
SS Sarkar,SS Sarkar,68.45,2,392233,Kolkata Knight Riders
Shahid Afridi,Shahid Afridi,68.42,10,336037,Deccan Chargers
PD Salt,PD Salt,67.84,34,1473511,Royal Challengers Bengaluru
B Sai Sudharsan,B Sai Sudharsan,67.19,40,1473509,Gujarat Titans
BJ Haddin,BJ Haddin,66.87,1,501222,Kolkata Knight Riders
R Parag,R Parag,66.65,75,1473500,Rajasthan Royals
SS Iyer,SS Iyer,66.52,131,1485779,Delhi Daredevils
NB Singh,NB Singh,66.47,2,1082621,Gujarat Lions
D Brevis,D Brevis,65.74,16,1473504,Chennai Super Kings
SE Bond,SE Bond,65.34,8,419161,Kolkata Knight Riders
SM Boland,SM Boland,65.17,2,980965,Rising Pune Supergiants
V Kohli,V Kohli,64.93,260,1473511,Royal Challengers Bangalore
JG Bethell,JG Bethell,64.68,2,1473489,Royal Challengers Bengaluru
PP Shaw,PP Shaw,64.59,79,1426285,Delhi Capitals
Umar Gul,Umar Gul,64.36,6,336035,Kolkata Knight Riders
KA Maharaj,KA Maharaj,64.29,2,1426265,Rajasthan Royals
JM Sharma,JM Sharma,63.53,47,1473511,Royal Challengers Bengaluru
AR Patel,AR Patel,63.47,163,1473498,Kings XI Punjab
Monu Kumar,Monu Kumar,63.26,1,1216544,Chennai Super Kings
