team,player,matches
Chennai Super Kings,MS Dhoni,215
Chennai Super Kings,RA Jadeja,183
Chennai Super Kings,SK Raina,171
Chennai Super Kings,DJ Bravo,115
Chennai Super Kings,R Ashwin,103
Chennai Super Kings,F du Plessis,86
Chennai Super Kings,AT Rayudu,80
Chennai Super Kings,JA Morkel,77
Chennai Super Kings,DL Chahar,76
Chennai Super Kings,M Vijay,70
Chennai Super Kings,RD Gaikwad,70
Chennai Super Kings,S Badrinath,67
Chennai Super Kings,SN Thakur,56
Chennai Super Kings,S Dube,53
Chennai Super Kings,MEK Hussey,49
Chennai Super Kings,SB Jakati,49
Chennai Super Kings,MM Sharma,48
Chennai Super Kings,MM Ali,45
Chennai Super Kings,SR Watson,43
Chennai Super Kings,M Muralitharan,40
Chennai Super Kings,DR Smith,32
Chennai Super Kings,M Pathirana,32
Chennai Super Kings,ML Hayden,32
Chennai Super Kings,TU Deshpande,31
Chennai Super Kings,L Balaji,29
Chennai Super Kings,BB McCullum,28
Chennai Super Kings,DP Conway,28
Chennai Super Kings,SM Curran,28
Chennai Super Kings,DE Bollinger,27
Chennai Super Kings,Imran Tahir,27
Chennai Super Kings,M Theekshana,27
Chennai Super Kings,MS Gony,26
Chennai Super Kings,PA Patel,26
Chennai Super Kings,Harbhajan Singh,24
Chennai Super Kings,AM Rahane,23
Chennai Super Kings,IC Pandey,22
Chennai Super Kings,A Nehra,20
Chennai Super Kings,KM Jadhav,18
Chennai Super Kings,MJ Santner,18
Chennai Super Kings,R Ravindra,18
Chennai Super Kings,BW Hilfenhaus,17
Chennai Super Kings,CH Morris,16
Chennai Super Kings,Joginder Sharma,16
Chennai Super Kings,Mukesh Choudhary,16
Chennai Super Kings,RV Uthappa,15
Chennai Super Kings,KK Ahmed,14
Chennai Super Kings,L Ngidi,14
Chennai Super Kings,Noor Ahmad,14
Chennai Super Kings,S Tyagi,14
Chennai Super Kings,DJ Mitchell,13
Chennai Super Kings,JDP Oram,12
Chennai Super Kings,JR Hazlewood,12
Chennai Super Kings,P Negi,12
Chennai Super Kings,S Anirudha,12
Chennai Super Kings,KV Sharma,11
Chennai Super Kings,SP Fleming,10
Chennai Super Kings,Simarjeet Singh,10
Chennai Super Kings,M Ntini,9
Chennai Super Kings,Mustafizur Rahman,9
Chennai Super Kings,SW Billings,9
Chennai Super Kings,A Kamboj,8
Chennai Super Kings,S Randiv,8
Chennai Super Kings,S Vidyut,8
Chennai Super Kings,A Mhatre,7
Chennai Super Kings,D Pretorius,7
Chennai Super Kings,PP Chawla,7
Chennai Super Kings,WP Saha,7
Chennai Super Kings,Akash Singh,6
Chennai Super Kings,D Brevis,6
Chennai Super Kings,DJ Hooda,6
Chennai Super Kings,JO Holder,6
Chennai Super Kings,P Amarnath,6
Chennai Super Kings,T Thushara,6
Chennai Super Kings,V Shankar,6
Chennai Super Kings,DP Nannes,5
Chennai Super Kings,JM Kemp,5
Chennai Super Kings,KMDN Kulasekara,5
Chennai Super Kings,M Manhas,5
Chennai Super Kings,RA Tripathi,5
Chennai Super Kings,SK Rasheed,5
Chennai Super Kings,Sameer Rizvi,5
Chennai Super Kings,TG Southee,5
Chennai Super Kings,CJ Jordan,4
Chennai Super Kings,CK Kapugedera,4
Chennai Super Kings,DJ Hussey,4
Chennai Super Kings,N Jagadeesan,4
Chennai Super Kings,S Badree,4
Chennai Super Kings,VY Mahesh,4
Chennai Super Kings,A Flintoff,3
Chennai Super Kings,DJ Willey,3
Chennai Super Kings,GJ Bailey,3
Chennai Super Kings,J Overton,3
Chennai Super Kings,KM Asif,3
Chennai Super Kings,Urvil Patel,3
Chennai Super Kings,AS Rajpoot,2
Chennai Super Kings,B Laughlin,2
